年,月,日,小时,分钟,秒,南北纬,纬度,纬度,经度,经度,东西经,
17年,05月,10日,01时,37分,58秒,北纬,40度,47.947分,111度,41.587分,西经,
17年,05月,10日,01时,37分,59秒,北纬,40度,47.950分,111度,41.586分,西经,
17年,05月,10日,01时,38分,00秒,北纬,40度,47.952分,111度,41.586分,西经,
17年,05月,10日,01时,38分,01秒,北纬,40度,47.955分,111度,41.585分,西经,
17年,05月,10日,01时,38分,02秒,北纬,40度,47.957分,111度,41.584分,西经,
17年,05月,10日,01时,38分,03秒,北纬,40度,47.959分,111度,41.583分,西经,
17年,05月,10日,01时,38分,04秒,北纬,40度,47.961分,111度,41.582分,西经,
17年,05月,10日,01时,38分,05秒,北纬,40度,47.963分,111度,41.582分,西经,
17年,05月,10日,01时,38分,06秒,北纬,40度,47.964分,111度,41.581分,西经,
17年,05月,10日,01时,38分,07秒,北纬,40度,47.964分,111度,41.582分,西经,
17年,05月,10日,01时,38分,08秒,北纬,40度,47.965分,111度,41.581分,西经,
17年,05月,10日,01时,38分,09秒,北纬,40度,47.965分,111度,41.581分,西经,
17年,05月,10日,01时,38分,10秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,11秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,12秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,13秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,14秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,15秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,16秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,17秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,18秒,北纬,40度,47.966分,111度,41.580分,西经,
17年,05月,10日,01时,38分,19秒,北纬,40度,47.967分,111度,41.580分,西经,
17年,05月,10日,01时,38分,20秒,北纬,40度,47.967分,111度,41.579分,西经,
17年,05月,10日,01时,38分,21秒,北纬,40度,47.969分,111度,41.579分,西经,
17年,05月,10日,01时,38分,22秒,北纬,40度,47.970分,111度,41.579分,西经,
17年,05月,10日,01时,38分,23秒,北纬,40度,47.970分,111度,41.578分,西经,
17年,05月,10日,01时,38分,24秒,北纬,40度,47.970分,111度,41.578分,西经,
17年,05月,10日,01时,38分,25秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,26秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,27秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,28秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,29秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,30秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,31秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,32秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,33秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,34秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,35秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,36秒,北纬,40度,47.971分,111度,41.578分,西经,
17年,05月,10日,01时,38分,37秒,北纬,40度,47.972分,111度,41.578分,西经,
17年,05月,10日,01时,38分,38秒,北纬,40度,47.972分,111度,41.578分,西经,
17年,05月,10日,01时,38分,39秒,北纬,40度,47.973分,111度,41.578分,西经,
17年,05月,10日,01时,38分,40秒,北纬,40度,47.973分,111度,41.577分,西经,
17年,05月,10日,01时,38分,41秒,北纬,40度,47.974分,111度,41.577分,西经,
17年,05月,10日,01时,38分,42秒,北纬,40度,47.974分,111度,41.577分,西经,
17年,05月,10日,01时,38分,43秒,北纬,40度,47.975分,111度,41.577分,西经,
17年,05月,10日,01时,38分,44秒,北纬,40度,47.975分,111度,41.577分,西经,
17年,05月,10日,01时,38分,45秒,北纬,40度,47.975分,111度,41.577分,西经,
17年,05月,10日,01时,38分,46秒,北纬,40度,47.975分,111度,41.577分,西经,
17年,05月,10日,01时,38分,47秒,北纬,40度,47.975分,111度,41.577分,西经,
17年,05月,10日,01时,38分,48秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,49秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,50秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,51秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,52秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,53秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,54秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,55秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,56秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,57秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,58秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,38分,59秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,00秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,01秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,02秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,03秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,04秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,05秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,06秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,07秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,08秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,09秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,10秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,11秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,12秒,北纬,40度,47.976分,111度,41.577分,西经,
17年,05月,10日,01时,39分,13秒,北纬,40度,47.977分,111度,41.576分,西经,
17年,05月,10日,01时,39分,14秒,北纬,40度,47.978分,111度,41.575分,西经,
17年,05月,10日,01时,39分,15秒,北纬,40度,47.981分,111度,41.574分,西经,
17年,05月,10日,01时,39分,16秒,北纬,40度,47.983分,111度,41.573分,西经,
17年,05月,10日,01时,39分,17秒,北纬,40度,47.986分,111度,41.572分,西经,
17年,05月,10日,01时,39分,18秒,北纬,40度,47.990分,111度,41.570分,西经,
17年,05月,10日,01时,39分,19秒,北纬,40度,47.993分,111度,41.569分,西经,
17年,05月,10日,01时,39分,20秒,北纬,40度,47.996分,111度,41.567分,西经,
17年,05月,10日,01时,39分,21秒,北纬,40度,47.998分,111度,41.566分,西经,
17年,05月,10日,01时,39分,22秒,北纬,40度,48.000分,111度,41.565分,西经,
17年,05月,10日,01时,39分,23秒,北纬,40度,48.002分,111度,41.564分,西经,
17年,05月,10日,01时,39分,24秒,北纬,40度,48.005分,111度,41.562分,西经,
17年,05月,10日,01时,39分,25秒,北纬,40度,48.007分,111度,41.560分,西经,
17年,05月,10日,01时,39分,26秒,北纬,40度,48.010分,111度,41.559分,西经,
17年,05月,10日,01时,39分,27秒,北纬,40度,48.013分,111度,41.557分,西经,
17年,05月,10日,01时,39分,28秒,北纬,40度,48.016分,111度,41.555分,西经,
17年,05月,10日,01时,39分,29秒,北纬,40度,48.020分,111度,41.554分,西经,
17年,05月,10日,01时,39分,30秒,北纬,40度,48.024分,111度,41.552分,西经,
17年,05月,10日,01时,39分,31秒,北纬,40度,48.028分,111度,41.550分,西经,
17年,05月,10日,01时,39分,31秒,北纬,40度,48.028分,111度,41.550分,西经,
17年,05月,10日,01时,39分,32秒,北纬,40度,48.031分,111度,41.549分,西经,
17年,05月,10日,01时,39分,33秒,北纬,40度,48.034分,111度,41.547分,西经,
17年,05月,10日,01时,39分,34秒,北纬,40度,48.037分,111度,41.546分,西经,
17年,05月,10日,01时,39分,35秒,北纬,40度,48.039分,111度,41.545分,西经,
17年,05月,10日,01时,39分,36秒,北纬,40度,48.042分,111度,41.544分,西经,
17年,05月,10日,01时,39分,37秒,北纬,40度,48.045分,111度,41.543分,西经,
17年,05月,10日,01时,39分,38秒,北纬,40度,48.047分,111度,41.541分,西经,
17年,05月,10日,01时,39分,39秒,北纬,40度,48.051分,111度,41.540分,西经,
17年,05月,10日,01时,39分,40秒,北纬,40度,48.054分,111度,41.538分,西经,
17年,05月,10日,01时,39分,41秒,北纬,40度,48.058分,111度,41.535分,西经,
17年,05月,10日,01时,39分,42秒,北纬,40度,48.063分,111度,41.533分,西经,
17年,05月,10日,01时,39分,44秒,北纬,40度,48.072分,111度,41.529分,西经,
17年,05月,10日,01时,39分,45秒,北纬,40度,48.076分,111度,41.527分,西经,
17年,05月,10日,01时,39分,46秒,北纬,40度,48.081分,111度,41.526分,西经,
17年,05月,10日,01时,39分,46秒,北纬,40度,48.081分,111度,41.526分,西经,
17年,05月,10日,01时,39分,48秒,北纬,40度,48.092分,111度,41.523分,西经,
17年,05月,10日,01时,39分,48秒,北纬,40度,48.092分,111度,41.523分,西经,
17年,05月,10日,01时,39分,50秒,北纬,40度,48.103分,111度,41.519分,西经,
17年,05月,10日,01时,39分,50秒,北纬,40度,48.103分,111度,41.519分,西经,
17年,05月,10日,01时,39分,51秒,北纬,40度,48.108分,111度,41.516分,西经,
17年,05月,10日,01时,39分,52秒,北纬,40度,48.113分,111度,41.513分,西经,
17年,05月,10日,01时,39分,53秒,北纬,40度,48.119分,111度,41.510分,西经,
17年,05月,10日,01时,39分,55秒,北纬,40度,48.131分,111度,41.505分,西经,
17年,05月,10日,01时,39分,55秒,北纬,40度,48.131分,111度,41.505分,西经,
17年,05月,10日,01时,39分,56秒,北纬,40度,48.137分,111度,41.502分,西经,
17年,05月,10日,01时,39分,57秒,北纬,40度,48.142分,111度,41.499分,西经,
17年,05月,10日,01时,39分,58秒,北纬,40度,48.148分,111度,41.496分,西经,
17年,05月,10日,01时,39分,59秒,北纬,40度,48.153分,111度,41.494分,西经,
17年,05月,10日,01时,40分,00秒,北纬,40度,48.158分,111度,41.492分,西经,
17年,05月,10日,01时,40分,02秒,北纬,40度,48.168分,111度,41.488分,西经,
17年,05月,10日,01时,40分,02秒,北纬,40度,48.168分,111度,41.488分,西经,
17年,05月,10日,01时,40分,04秒,北纬,40度,48.178分,111度,41.483分,西经,
17年,05月,10日,01时,40分,04秒,北纬,40度,48.178分,111度,41.483分,西经,
17年,05月,10日,01时,40分,05秒,北纬,40度,48.183分,111度,41.481分,西经,
17年,05月,10日,01时,40分,06秒,北纬,40度,48.189分,111度,41.478分,西经,
17年,05月,10日,01时,40分,07秒,北纬,40度,48.193分,111度,41.476分,西经,
17年,05月,10日,01时,40分,08秒,北纬,40度,48.198分,111度,41.473分,西经,
17年,05月,10日,01时,40分,09秒,北纬,40度,48.203分,111度,41.471分,西经,
17年,05月,10日,01时,40分,10秒,北纬,40度,48.207分,111度,41.469分,西经,
17年,05月,10日,01时,40分,11秒,北纬,40度,48.212分,111度,41.466分,西经,
17年,05月,10日,01时,40分,12秒,北纬,40度,48.216分,111度,41.464分,西经,
17年,05月,10日,01时,40分,13秒,北纬,40度,48.221分,111度,41.462分,西经,
17年,05月,10日,01时,40分,14秒,北纬,40度,48.225分,111度,41.460分,西经,
17年,05月,10日,01时,40分,16秒,北纬,40度,48.235分,111度,41.455分,西经,
17年,05月,10日,01时,40分,16秒,北纬,40度,48.235分,111度,41.455分,西经,
17年,05月,10日,01时,40分,17秒,北纬,40度,48.240分,111度,41.452分,西经,
17年,05月,10日,01时,40分,19秒,北纬,40度,48.250分,111度,41.447分,西经,
17年,05月,10日,01时,40分,19秒,北纬,40度,48.250分,111度,41.447分,西经,
17年,05月,10日,01时,40分,20秒,北纬,40度,48.255分,111度,41.445分,西经,
17年,05月,10日,01时,40分,22秒,北纬,40度,48.262分,111度,41.441分,西经,
17年,05月,10日,01时,40分,22秒,北纬,40度,48.262分,111度,41.441分,西经,
17年,05月,10日,01时,40分,23秒,北纬,40度,48.265分,111度,41.439分,西经,
17年,05月,10日,01时,40分,24秒,北纬,40度,48.268分,111度,41.438分,西经,
17年,05月,10日,01时,40分,25秒,北纬,40度,48.270分,111度,41.438分,西经,
17年,05月,10日,01时,40分,26秒,北纬,40度,48.272分,111度,41.438分,西经,
17年,05月,10日,01时,40分,28秒,北纬,40度,48.273分,111度,41.438分,西经,
17年,05月,10日,01时,40分,29秒,北纬,40度,48.273分,111度,41.438分,西经,
17年,05月,10日,01时,40分,29秒,北纬,40度,48.273分,111度,41.438分,西经,
17年,05月,10日,01时,40分,30秒,北纬,40度,48.273分,111度,41.438分,西经,
17年,05月,10日,01时,40分,31秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,32秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,34秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,34秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,35秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,36秒,北纬,40度,48.273分,111度,41.437分,西经,
17年,05月,10日,01时,40分,37秒,北纬,40度,48.273分,111度,41.436分,西经,
17年,05月,10日,01时,40分,38秒,北纬,40度,48.273分,111度,41.436分,西经,
17年,05月,10日,01时,40分,39秒,北纬,40度,48.273分,111度,41.436分,西经,
17年,05月,10日,01时,40分,40秒,北纬,40度,48.273分,111度,41.436分,西经,
17年,05月,10日,01时,40分,41秒,北纬,40度,48.273分,111度,41.436分,西经,
17年,05月,10日,01时,40分,42秒,北纬,40度,48.273分,111度,41.435分,西经,
17年,05月,10日,01时,40分,43秒,北纬,40度,48.272分,111度,41.434分,西经,
17年,05月,10日,01时,40分,44秒,北纬,40度,48.270分,111度,41.433分,西经,
17年,05月,10日,01时,40分,45秒,北纬,40度,48.268分,111度,41.434分,西经,
17年,05月,10日,01时,40分,46秒,北纬,40度,48.266分,111度,41.436分,西经,
17年,05月,10日,01时,40分,47秒,北纬,40度,48.263分,111度,41.437分,西经,
17年,05月,10日,01时,40分,48秒,北纬,40度,48.260分,111度,41.439分,西经,
17年,05月,10日,01时,40分,49秒,北纬,40度,48.257分,111度,41.440分,西经,
17年,05月,10日,01时,40分,50秒,北纬,40度,48.254分,111度,41.442分,西经,
17年,05月,10日,01时,40分,51秒,北纬,40度,48.250分,111度,41.444分,西经,
17年,05月,10日,01时,40分,52秒,北纬,40度,48.247分,111度,41.445分,西经,
17年,05月,10日,01时,40分,53秒,北纬,40度,48.243分,111度,41.447分,西经,
17年,05月,10日,01时,40分,54秒,北纬,40度,48.240分,111度,41.448分,西经,
17年,05月,10日,01时,40分,55秒,北纬,40度,48.236分,111度,41.450分,西经,
17年,05月,10日,01时,40分,56秒,北纬,40度,48.232分,111度,41.451分,西经,
17年,05月,10日,01时,40分,57秒,北纬,40度,48.229分,111度,41.452分,西经,
17年,05月,10日,01时,40分,58秒,北纬,40度,48.226分,111度,41.453分,西经,
17年,05月,10日,01时,40分,59秒,北纬,40度,48.223分,111度,41.454分,西经,
17年,05月,10日,01时,41分,00秒,北纬,40度,48.220分,111度,41.454分,西经,
17年,05月,10日,01时,41分,01秒,北纬,40度,48.219分,111度,41.454分,西经,
17年,05月,10日,01时,41分,02秒,北纬,40度,48.218分,111度,41.454分,西经,
17年,05月,10日,01时,41分,03秒,北纬,40度,48.217分,111度,41.454分,西经,
17年,05月,10日,01时,41分,04秒,北纬,40度,48.216分,111度,41.453分,西经,
17年,05月,10日,01时,41分,05秒,北纬,40度,48.215分,111度,41.452分,西经,
17年,05月,10日,01时,41分,06秒,北纬,40度,48.214分,111度,41.451分,西经,
17年,05月,10日,01时,41分,07秒,北纬,40度,48.214分,111度,41.450分,西经,
17年,05月,10日,01时,41分,08秒,北纬,40度,48.213分,111度,41.449分,西经,
17年,05月,10日,01时,41分,09秒,北纬,40度,48.213分,111度,41.447分,西经,
17年,05月,10日,01时,41分,10秒,北纬,40度,48.212分,111度,41.445分,西经,
17年,05月,10日,01时,41分,11秒,北纬,40度,48.212分,111度,41.444分,西经,
17年,05月,10日,01时,41分,12秒,北纬,40度,48.211分,111度,41.442分,西经,
17年,05月,10日,01时,41分,13秒,北纬,40度,48.211分,111度,41.442分,西经,
17年,05月,10日,01时,41分,15秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,15秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,16秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,17秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,18秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,19秒,北纬,40度,48.211分,111度,41.441分,西经,
17年,05月,10日,01时,41分,20秒,北纬,40度,48.210分,111度,41.440分,西经,
17年,05月,10日,01时,41分,21秒,北纬,40度,48.211分,111度,41.438分,西经,
17年,05月,10日,01时,41分,23秒,北纬,40度,48.212分,111度,41.430分,西经,
17年,05月,10日,01时,41分,24秒,北纬,40度,48.212分,111度,41.425分,西经,
17年,05月,10日,01时,41分,24秒,北纬,40度,48.212分,111度,41.425分,西经,
17年,05月,10日,01时,41分,25秒,北纬,40度,48.212分,111度,41.421分,西经,
17年,05月,10日,01时,41分,26秒,北纬,40度,48.211分,111度,41.417分,西经,
17年,05月,10日,01时,41分,27秒,北纬,40度,48.210分,111度,41.414分,西经,
17年,05月,10日,01时,41分,28秒,北纬,40度,48.208分,111度,41.412分,西经,
17年,05月,10日,01时,41分,29秒,北纬,40度,48.207分,111度,41.410分,西经,
17年,05月,10日,01时,41分,30秒,北纬,40度,48.205分,111度,41.409分,西经,
17年,05月,10日,01时,41分,31秒,北纬,40度,48.203分,111度,41.408分,西经,
17年,05月,10日,01时,41分,32秒,北纬,40度,48.201分,111度,41.409分,西经,
17年,05月,10日,01时,41分,33秒,北纬,40度,48.199分,111度,41.409分,西经,
17年,05月,10日,01时,41分,34秒,北纬,40度,48.197分,111度,41.410分,西经,
17年,05月,10日,01时,41分,35秒,北纬,40度,48.195分,111度,41.411分,西经,
17年,05月,10日,01时,41分,36秒,北纬,40度,48.192分,111度,41.412分,西经,
17年,05月,10日,01时,41分,37秒,北纬,40度,48.189分,111度,41.413分,西经,
17年,05月,10日,01时,41分,38秒,北纬,40度,48.186分,111度,41.414分,西经,
17年,05月,10日,01时,41分,40秒,北纬,40度,48.180分,111度,41.417分,西经,
17年,05月,10日,01时,41分,40秒,北纬,40度,48.180分,111度,41.417分,西经,
17年,05月,10日,01时,41分,41秒,北纬,40度,48.177分,111度,41.418分,西经,
17年,05月,10日,01时,41分,42秒,北纬,40度,48.173分,111度,41.420分,西经,
17年,05月,10日,01时,41分,44秒,北纬,40度,48.166分,111度,41.423分,西经,
17年,05月,10日,01时,41分,44秒,北纬,40度,48.166分,111度,41.423分,西经,
17年,05月,10日,01时,41分,45秒,北纬,40度,48.163分,111度,41.425分,西经,
17年,05月,10日,01时,41分,47秒,北纬,40度,48.156分,111度,41.427分,西经,
17年,05月,10日,01时,41分,48秒,北纬,40度,48.152分,111度,41.429分,西经,
17年,05月,10日,01时,41分,48秒,北纬,40度,48.152分,111度,41.429分,西经,
17年,05月,10日,01时,41分,49秒,北纬,40度,48.149分,111度,41.430分,西经,
17年,05月,10日,01时,41分,50秒,北纬,40度,48.145分,111度,41.432分,西经,
17年,05月,10日,01时,41分,51秒,北纬,40度,48.142分,111度,41.433分,西经,
17年,05月,10日,01时,41分,52秒,北纬,40度,48.138分,111度,41.435分,西经,
17年,05月,10日,01时,41分,53秒,北纬,40度,48.134分,111度,41.437分,西经,
17年,05月,10日,01时,41分,54秒,北纬,40度,48.130分,111度,41.438分,西经,
17年,05月,10日,01时,41分,55秒,北纬,40度,48.126分,111度,41.440分,西经,
17年,05月,10日,01时,41分,56秒,北纬,40度,48.123分,111度,41.442分,西经,
17年,05月,10日,01时,41分,57秒,北纬,40度,48.120分,111度,41.443分,西经,
17年,05月,10日,01时,41分,58秒,北纬,40度,48.117分,111度,41.444分,西经,
17年,05月,10日,01时,41分,59秒,北纬,40度,48.114分,111度,41.446分,西经,
17年,05月,10日,01时,42分,00秒,北纬,40度,48.111分,111度,41.447分,西经,
17年,05月,10日,01时,42分,01秒,北纬,40度,48.108分,111度,41.448分,西经,
17年,05月,10日,01时,42分,02秒,北纬,40度,48.105分,111度,41.450分,西经,
17年,05月,10日,01时,42分,03秒,北纬,40度,48.102分,111度,41.451分,西经,
17年,05月,10日,01时,42分,04秒,北纬,40度,48.098分,111度,41.452分,西经,
17年,05月,10日,01时,42分,05秒,北纬,40度,48.096分,111度,41.453分,西经,
17年,05月,10日,01时,42分,06秒,北纬,40度,48.093分,111度,41.453分,西经,
17年,05月,10日,01时,42分,07秒,北纬,40度,48.091分,111度,41.452分,西经,
17年,05月,10日,01时,42分,08秒,北纬,40度,48.088分,111度,41.451分,西经,
17年,05月,10日,01时,42分,09秒,北纬,40度,48.087分,111度,41.449分,西经,
17年,05月,10日,01时,42分,10秒,北纬,40度,48.086分,111度,41.446分,西经,
17年,05月,10日,01时,42分,11秒,北纬,40度,48.085分,111度,41.443分,西经,
17年,05月,10日,01时,42分,13秒,北纬,40度,48.083分,111度,41.436分,西经,
17年,05月,10日,01时,42分,14秒,北纬,40度,48.082分,111度,41.433分,西经,
17年,05月,10日,01时,42分,14秒,北纬,40度,48.082分,111度,41.433分,西经,
17年,05月,10日,01时,42分,15秒,北纬,40度,48.081分,111度,41.431分,西经,
17年,05月,10日,01时,42分,16秒,北纬,40度,48.081分,111度,41.428分,西经,
17年,05月,10日,01时,42分,18秒,北纬,40度,48.079分,111度,41.423分,西经,
17年,05月,10日,01时,42分,18秒,北纬,40度,48.079分,111度,41.423分,西经,
17年,05月,10日,01时,42分,20秒,北纬,40度,48.078分,111度,41.419分,西经,
17年,05月,10日,01时,42分,20秒,北纬,40度,48.078分,111度,41.419分,西经,
17年,05月,10日,01时,42分,21秒,北纬,40度,48.077分,111度,41.417分,西经,
17年,05月,10日,01时,42分,23秒,北纬,40度,48.076分,111度,41.414分,西经,
17年,05月,10日,01时,42分,23秒,北纬,40度,48.076分,111度,41.414分,西经,
17年,05月,10日,01时,42分,24秒,北纬,40度,48.076分,111度,41.413分,西经,
17年,05月,10日,01时,42分,26秒,北纬,40度,48.075分,111度,41.411分,西经,
17年,05月,10日,01时,42分,26秒,北纬,40度,48.075分,111度,41.411分,西经,
17年,05月,10日,01时,42分,28秒,北纬,40度,48.075分,111度,41.408分,西经,
17年,05月,10日,01时,42分,28秒,北纬,40度,48.075分,111度,41.408分,西经,
17年,05月,10日,01时,42分,30秒,北纬,40度,48.074分,111度,41.404分,西经,
17年,05月,10日,01时,42分,31秒,北纬,40度,48.074分,111度,41.402分,西经,
17年,05月,10日,01时,42分,32秒,北纬,40度,48.075分,111度,41.401分,西经,
17年,05月,10日,01时,42分,32秒,北纬,40度,48.075分,111度,41.401分,西经,
17年,05月,10日,01时,42分,33秒,北纬,40度,48.076分,111度,41.400分,西经,
17年,05月,10日,01时,42分,35秒,北纬,40度,48.078分,111度,41.400分,西经,
17年,05月,10日,01时,42分,35秒,北纬,40度,48.078分,111度,41.400分,西经,
17年,05月,10日,01时,42分,37秒,北纬,40度,48.079分,111度,41.401分,西经,
17年,05月,10日,01时,42分,37秒,北纬,40度,48.079分,111度,41.401分,西经,
17年,05月,10日,01时,42分,39秒,北纬,40度,48.080分,111度,41.402分,西经,
17年,05月,10日,01时,42分,39秒,北纬,40度,48.080分,111度,41.402分,西经,
17年,05月,10日,01时,42分,40秒,北纬,40度,48.080分,111度,41.403分,西经,
17年,05月,10日,01时,42分,41秒,北纬,40度,48.080分,111度,41.403分,西经,
17年,05月,10日,01时,42分,42秒,北纬,40度,48.080分,111度,41.404分,西经,
17年,05月,10日,01时,42分,44秒,北纬,40度,48.080分,111度,41.405分,西经,
17年,05月,10日,01时,42分,44秒,北纬,40度,48.080分,111度,41.405分,西经,
17年,05月,10日,01时,42分,45秒,北纬,40度,48.081分,111度,41.405分,西经,
17年,05月,10日,01时,42分,47秒,北纬,40度,48.081分,111度,41.407分,西经,
17年,05月,10日,01时,42分,47秒,北纬,40度,48.081分,111度,41.407分,西经,
17年,05月,10日,01时,42分,49秒,北纬,40度,48.081分,111度,41.407分,西经,
17年,05月,10日,01时,42分,50秒,北纬,40度,48.081分,111度,41.407分,西经,
17年,05月,10日,01时,42分,50秒,北纬,40度,48.081分,111度,41.407分,西经,
17年,05月,10日,01时,42分,52秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,53秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,53秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,55秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,56秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,56秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,58秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,42分,58秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,00秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,00秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,02秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,03秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,03秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,05秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,05秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,06秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,07秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,09秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,10秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,10秒,北纬,40度,48.081分,111度,41.408分,西经,
17年,05月,10日,01时,43分,10秒,北纬,40度,48.081分,111度,41.408分,西经,
